店名,住所
モーリーファンタジーつくば店,茨城県つくば市稲岡６６－１イオンモールつくば３階
MEGAドン・キホーテ勝田店,茨城県ひたちなか市石川町１－１長崎屋勝田
ぷれいらんど３７３勝田店,茨城県ひたちなか市石川町１－１長崎屋勝田２階
アミューズメントジャムジャムひたちなか本店新館,茨城県ひたちなか市田中後40-2
ゲームグース下妻店,茨城県下妻市堀篭972-1イオンモール下妻2階
モーリーファンタジー下妻店,茨城県下妻市堀籠９７２－１イオンモール下妻２階
イトーヨーカドー古河店,茨城県古河市雷電町１－１８イトーヨーカドー古河
ゲームパドック・プラスワン古河店,茨城県古河市小堤１９１６－１ゲームパドック・プラスワン古河
モーリーファンタジー古河店,茨城県古河市旭町１－２－１７古河イオン２階
ＦＥＳＴＡ古河店,茨城県古河市松並２－１８－１０マーケットシティ古河
ゲームパニックつくば,茨城県土浦市中村東1-1-10298-43-8295サンタスワールド
プラサカプコン土浦,茨城県土浦市真鍋２－１－２９
モーリーファンタジー土浦店,茨城県土浦市上高津３６７番イオン土浦３階
エムランド坂東,茨城県坂東市辺田1517
ソユートイズニューヨーク守谷,茨城県守谷市百合ケ丘３―２４９―１イオンタウン守谷２階
イオン常陸大宮店,茨城県常陸大宮市下村田２３８７イオン常陸大宮
プレビ常陸大宮ショッピングセンターピサーロ,茨城県常陸大宮市下村田2387
こころっこ日立,茨城県日立市幸町１－１６－１イトーヨーカドー日立５階プレビプレイランド
イトーヨーカドー日立店,茨城県日立市幸町１－１６－１イトーヨーカドー日立
セガワールド日立,茨城県日立市田尻町３－２６－１セガワールド日立
ピンクパンサー日立店,茨城県日立市東多賀町５－１０－１０ピンクパンサー日立
スタジオプリモマイム水戸,茨城県水戸市宮町１－２－４マイム水戸１階
ビックカメラ水戸駅店,茨城県水戸市宮町１－７－３１エクセルみなみ４Ｆ・５Ｆ
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町３２７６－１ピンクパンサー水戸けやき台
ファンタジープラザ上水戸,茨城県水戸市上水戸２－９－１０ＭＥＧＡドン・キホーテ上水戸２階
フェドラP&D水戸,茨城県水戸市千波町２０１７－１フェドラＰ＆Ｄ水戸
モーリーファンタジー水戸内原店,茨城県水戸市中原町字西１３５番地イオン水戸内原３階
ユーズランド水戸内原店,茨城県水戸市内原２丁目１番地イオン水戸内原２階
